collision_id,unique_id,case_id_pkey,collision_date,collision_time,accident_year,month,day_of_week,time_cat,hour_of_day,time_of_day,season,location_id,weather_id,road_id,party_id,severity_id
418,44114,3417025.0,2007 September 26,15:24:00,2007,September,Wednesday,2:01 pm to 6:00 pm,15,Afternoon,Fall,401,2,2,57622,2
419,60044,220736677.0,2022 October 26,10:04:00,2022,October,Wednesday,10:01 am to 2:00 pm,10,Morning,Fall,402,2,2,57341,2
420,2740,140525007.0,2014 June 24,21:30:00,2014,June,Tuesday,6:01 pm to 10:00 pm,21,Night,Summer,403,2,3,57603,14
421,12792,140811884.0,2014 September 26,10:54:00,2014,September,Friday,10:01 am to 2:00 pm,10,Morning,Fall,404,2,1,57649,1
422,29565,150394660.0,2015 May 06,17:00:00,2015,May,Wednesday,2:01 pm to 6:00 pm,17,Evening,Spring,405,2,1,57658,8
423,48503,190517333.0,2019 July 17,08:51:00,2019,July,Wednesday,6:01 am to 10:00 am,8,Morning,Summer,406,2,1,57659,1
424,54245,200706634.0,2020 November 22,18:25:00,2020,November,Sunday,6:01 pm to 10:00 pm,18,Evening,Fall,407,2,3,57525,1
425,44737,2310261.0,2005 June 24,10:46:00,2005,June,Friday,10:01 am to 2:00 pm,10,Morning,Summer,408,2,1,57659,8
426,24845,130573323.0,2013 July 12,14:00:00,2013,July,Friday,10:01 am to 2:00 pm,14,Afternoon,Summer,409,8,1,57639,1
427,11796,5477513.0,2011 December 16,10:59:00,2011,December,Friday,10:01 am to 2:00 pm,10,Morning,Winter,410,2,1,57649,1
428,59413,220756415.0,2022 November 03,06:26:00,2022,November,Thursday,6:01 am to 10:00 am,6,Morning,Fall,411,2,53,57566,4
429,39975,3496563.0,2007 November 15,13:35:00,2007,November,Thursday,10:01 am to 2:00 pm,13,Afternoon,Fall,412,2,1,56247,4
430,48383,190702879.0,2019 September 19,23:31:00,2019,September,Thursday,10:01 pm to 2:00 am,23,Night,Fall,413,2,12,57622,1
431,6961,150228718.0,2015 March 14,17:37:00,2015,March,Saturday,2:01 pm to 6:00 pm,17,Evening,Spring,296,2,1,57649,4
432,59972,220727143.0,2022 October 22,14:04:00,2022,October,Saturday,2:01 pm to 6:00 pm,14,Afternoon,Fall,414,2,2,57454,2
433,84744,240014908.0,2024 January 07,16:02:00,2024,January,Sunday,2:01 pm to 6:00 pm,16,Afternoon,Winter,415,2,1,57390,1
434,59743,220777427.0,2022 November 11,20:21:00,2022,November,Friday,6:01 pm to 10:00 pm,20,Evening,Fall,416,2,12,57614,2
435,58253,220320430.0,2022 May 16,18:58:00,2022,May,Monday,6:01 pm to 10:00 pm,18,Evening,Spring,417,2,1,57585,8
436,82946,230315108.0,2023 May 06,14:26:00,2023,May,Saturday,2:01 pm to 6:00 pm,14,Afternoon,Spring,418,2,2,57658,8
437,47867,190595442.0,2019 August 13,20:46:00,2019,August,Tuesday,6:01 pm to 10:00 pm,20,Evening,Summer,419,2,3,57525,1
438,11710,3433845.0,2007 November 05,21:44:00,2007,November,Monday,6:01 pm to 10:00 pm,21,Night,Fall,420,2,3,57660,2
439,86373,240533237.0,2024 August 25,15:03:00,2024,August,Sunday,2:01 pm to 6:00 pm,15,Afternoon,Summer,421,2,2,57605,4
440,86976,240653619.0,2024 October 30,07:32:00,2024,October,Wednesday,6:01 am to 10:00 am,7,Morning,Fall,422,2,2,57572,2
441,9806,2340061.0,2005 October 11,07:35:00,2005,October,Tuesday,6:01 am to 10:00 am,7,Morning,Fall,25,2,1,51939,8
442,85448,240076748.0,2024 February 03,15:40:00,2024,February,Saturday,2:01 pm to 6:00 pm,15,Afternoon,Winter,423,2,4,57564,1
443,86213,240482838.0,2024 August 02,16:14:00,2024,August,Friday,2:01 pm to 6:00 pm,16,Afternoon,Summer,424,2,2,57490,1
444,33271,160358800.0,2016 May 02,11:18:00,2016,May,Monday,10:01 am to 2:00 pm,11,Morning,Spring,425,2,1,57660,1
445,41244,130981447.0,2013 November 19,17:55:00,2013,November,Tuesday,2:01 pm to 6:00 pm,17,Evening,Fall,242,4,13,57631,1
446,59632,220882480.0,2022 December 26,05:20:00,2022,December,Monday,2:01 am to 6:00 am,5,Morning,Winter,426,2,54,57508,2
447,86850,240632776.0,2024 October 08,09:02:00,2024,October,Tuesday,6:01 am to 10:00 am,9,Morning,Fall,427,2,2,57078,2
448,8216,130568330.0,2013 July 10,16:51:00,2013,July,Wednesday,2:01 pm to 6:00 pm,16,Afternoon,Summer,428,2,2,57546,1
449,52982,200325381.0,2020 May 29,16:00:00,2020,May,Friday,2:01 pm to 6:00 pm,16,Afternoon,Spring,429,2,2,49233,1
450,12653,6221961.0,2012 November 06,05:17:00,2012,November,Tuesday,2:01 am to 6:00 am,5,Morning,Fall,430,2,3,57659,13
451,84345,230881046.0,2023 December 16,18:27:00,2023,December,Saturday,6:01 pm to 10:00 pm,18,Evening,Winter,431,2,3,57603,1
452,56182,210434063.0,2021 July 10,02:17:00,2021,July,Saturday,2:01 am to 6:00 am,2,Night,Summer,432,2,21,57470,2
453,23067,140391529.0,2014 May 09,23:00:00,2014,May,Friday,10:01 pm to 2:00 am,23,Night,Spring,433,2,3,57658,1
454,59081,220544232.0,2022 August 14,12:22:00,2022,August,Sunday,10:01 am to 2:00 pm,12,Afternoon,Summer,434,2,1,57659,2
455,8336,2150096.0,2005 July 19,17:48:00,2005,July,Tuesday,2:01 pm to 6:00 pm,17,Evening,Summer,435,2,1,57659,2
456,60019,220704931.0,2022 October 13,18:20:00,2022,October,Thursday,6:01 pm to 10:00 pm,18,Evening,Fall,436,2,55,57649,1
457,40422,3342597.0,2007 August 18,09:52:00,2007,August,Saturday,6:01 am to 10:00 am,9,Morning,Summer,437,2,2,57622,1
458,54967,210192421.0,2021 March 28,01:28:00,2021,March,Sunday,10:01 pm to 2:00 am,1,Night,Spring,438,2,42,25183,2
459,3631,3557846.0,2008 January 31,18:50:00,2008,January,Thursday,6:01 pm to 10:00 pm,18,Evening,Winter,439,4,13,57622,1
460,53751,200263753.0,2020 April 27,20:53:00,2020,April,Monday,6:01 pm to 10:00 pm,20,Evening,Spring,440,2,42,57566,1
461,59481,220810209.0,2022 November 24,22:42:00,2022,November,Thursday,10:01 pm to 2:00 am,22,Night,Fall,441,2,3,57525,2
462,59526,220790491.0,2022 November 16,22:34:00,2022,November,Wednesday,10:01 pm to 2:00 am,22,Night,Fall,442,2,3,57467,1
463,61475,210824630.0,2021 December 14,01:30:00,2021,December,Tuesday,10:01 pm to 2:00 am,1,Night,Winter,443,4,13,57454,2
464,36579,150895339.0,2015 October 13,07:45:00,2015,October,Tuesday,6:01 am to 10:00 am,7,Morning,Fall,444,2,1,57658,1
465,8868,141072760.0,2014 December 21,20:47:00,2014,December,Sunday,6:01 pm to 10:00 pm,20,Evening,Winter,445,1,12,57584,2
466,24281,3439364.0,2007 October 10,02:01:00,2007,October,Wednesday,2:01 am to 6:00 am,2,Night,Fall,446,4,7,57607,2
467,49959,190930735.0,2019 December 10,21:00:00,2019,December,Tuesday,6:01 pm to 10:00 pm,21,Night,Winter,447,7,13,57476,2
468,54016,200643133.0,2020 October 24,19:50:00,2020,October,Saturday,6:01 pm to 10:00 pm,19,Evening,Fall,448,2,12,57658,4
469,52864,200274017.0,2020 May 03,15:26:00,2020,May,Sunday,2:01 pm to 6:00 pm,15,Afternoon,Spring,449,2,2,57532,2
470,49868,190945364.0,2019 December 16,18:05:00,2019,December,Monday,6:01 pm to 10:00 pm,18,Evening,Winter,450,2,3,57532,4
471,57589,220167282.0,2022 March 13,17:24:00,2022,March,Sunday,2:01 pm to 6:00 pm,17,Evening,Spring,451,2,11,55715,1
472,29664,2339119.0,2005 October 27,16:26:00,2005,October,Thursday,2:01 pm to 6:00 pm,16,Afternoon,Fall,452,2,1,57625,1
473,20789,2116204.0,2005 June 29,14:16:00,2005,June,Wednesday,2:01 pm to 6:00 pm,14,Afternoon,Summer,453,2,47,57660,2
474,38041,160927295.0,2016 November 14,12:41:00,2016,November,Monday,10:01 am to 2:00 pm,12,Afternoon,Fall,454,2,2,57660,1
475,52918,200236208.0,2020 April 12,15:42:00,2020,April,Sunday,2:01 pm to 6:00 pm,15,Afternoon,Spring,455,2,2,57614,2
476,58677,220480614.0,2022 July 20,12:55:00,2022,July,Wednesday,10:01 am to 2:00 pm,12,Afternoon,Summer,456,2,1,57585,1
477,53420,200502501.0,2020 August 20,23:21:00,2020,August,Thursday,10:01 pm to 2:00 am,23,Night,Summer,457,2,3,57622,1
478,52730,200138952.0,2020 February 24,12:38:00,2020,February,Monday,10:01 am to 2:00 pm,12,Afternoon,Winter,458,2,1,57525,4
479,83230,230468650.0,2023 July 06,19:52:00,2023,July,Thursday,6:01 pm to 10:00 pm,19,Evening,Summer,459,2,33,57649,2
480,50520,190862611.0,2019 November 14,15:02:00,2019,November,Thursday,2:01 pm to 6:00 pm,15,Afternoon,Fall,460,1,56,56153,2
481,35195,9005498.0,2006 August 05,02:05:00,2006,August,Saturday,2:01 am to 6:00 am,2,Night,Summer,461,2,3,57607,2
482,21774,6221444.0,2012 December 24,16:07:00,2012,December,Monday,2:01 pm to 6:00 pm,16,Afternoon,Winter,462,2,3,57659,8
483,9174,130667590.0,2013 August 12,16:47:00,2013,August,Monday,2:01 pm to 6:00 pm,16,Afternoon,Summer,463,2,2,56363,1
484,3229,180856840.0,2018 November 11,10:10:00,2018,November,Sunday,10:01 am to 2:00 pm,10,Morning,Fall,464,2,2,57556,4
485,52342,200178691.0,2020 March 10,18:22:00,2020,March,Tuesday,6:01 pm to 10:00 pm,18,Evening,Spring,465,2,2,57525,1
486,31105,140423235.0,2014 May 20,20:59:00,2014,May,Tuesday,6:01 pm to 10:00 pm,20,Evening,Spring,466,2,3,57659,1
487,42368,141097746.0,2014 December 30,15:57:00,2014,December,Tuesday,2:01 pm to 6:00 pm,15,Afternoon,Winter,467,16,27,56568,2
488,82236,230637554.0,2023 September 06,11:45:00,2023,September,Wednesday,10:01 am to 2:00 pm,11,Morning,Fall,468,2,1,57614,2
489,47626,190324570.0,2019 May 06,13:38:00,2019,May,Monday,10:01 am to 2:00 pm,13,Afternoon,Spring,469,2,1,56662,1
490,7446,6142148.0,2012 April 18,02:07:00,2012,April,Wednesday,2:01 am to 6:00 am,2,Night,Spring,470,2,57,57607,2
491,82956,230308589.0,2023 May 03,17:25:00,2023,May,Wednesday,2:01 pm to 6:00 pm,17,Evening,Spring,471,2,16,57649,1
492,18464,5383981.0,2011 September 30,18:01:00,2011,September,Friday,6:01 pm to 10:00 pm,18,Evening,Fall,472,2,1,57581,2
493,26645,160482528.0,2016 June 14,09:30:00,2016,June,Tuesday,6:01 am to 10:00 am,9,Morning,Summer,473,2,1,57660,1
494,27605,160848704.0,2016 October 18,09:20:00,2016,October,Tuesday,6:01 am to 10:00 am,9,Morning,Fall,474,2,1,57525,1
495,5296,2383566.0,2005 October 25,09:45:00,2005,October,Tuesday,6:01 am to 10:00 am,9,Morning,Fall,475,2,2,57660,14
496,58590,220499405.0,2022 July 27,23:07:00,2022,July,Wednesday,10:01 pm to 2:00 am,23,Night,Summer,476,1,3,57490,4
497,41994,170045279.0,2017 January 17,13:34:00,2017,January,Tuesday,10:01 am to 2:00 pm,13,Afternoon,Winter,477,2,2,57658,1
498,20162,140783136.0,2014 September 17,10:30:00,2014,September,Wednesday,10:01 am to 2:00 pm,10,Morning,Fall,478,2,2,57660,1
499,3734,2342935.0,2005 September 13,13:50:00,2005,September,Tuesday,10:01 am to 2:00 pm,13,Afternoon,Fall,479,2,1,57569,6
500,82192,230169046.0,2023 March 09,20:25:00,2023,March,Thursday,6:01 pm to 10:00 pm,20,Evening,Spring,480,4,13,57633,1
501,37914,3431374.0,2007 October 13,17:19:00,2007,October,Saturday,2:01 pm to 6:00 pm,17,Evening,Fall,481,2,1,57658,1
502,16958,3703646.0,2008 February 17,13:26:00,2008,February,Sunday,10:01 am to 2:00 pm,13,Afternoon,Winter,482,2,1,57658,1
503,82991,230088010.0,2023 February 05,18:46:00,2023,February,Sunday,6:01 pm to 10:00 pm,18,Evening,Winter,483,2,12,57581,2
504,58054,220360834.0,2022 June 02,09:09:00,2022,June,Thursday,6:01 am to 10:00 am,9,Morning,Summer,484,2,2,57659,1
505,82183,230144101.0,2023 February 28,07:16:00,2023,February,Tuesday,6:01 am to 10:00 am,7,Morning,Winter,485,4,16,57590,1
506,36739,141001327.0,2014 November 26,12:00:00,2014,November,Wednesday,10:01 am to 2:00 pm,12,Afternoon,Fall,486,2,2,56954,2
507,52797,200221030.0,2020 April 03,09:30:00,2020,April,Friday,6:01 am to 10:00 am,9,Morning,Spring,487,2,1,57659,1
508,30910,9009331.0,2006 August 23,18:39:00,2006,August,Wednesday,6:01 pm to 10:00 pm,18,Evening,Summer,488,1,1,56911,1
509,52000,190843257.0,2019 November 07,12:26:00,2019,November,Thursday,10:01 am to 2:00 pm,12,Afternoon,Fall,489,2,1,53854,4
510,53092,200348349.0,2020 June 09,12:59:00,2020,June,Tuesday,10:01 am to 2:00 pm,12,Afternoon,Summer,490,2,1,57461,2
511,48203,190536822.0,2019 July 24,12:08:00,2019,July,Wednesday,10:01 am to 2:00 pm,12,Afternoon,Summer,491,2,2,57658,8
512,2427,5477353.0,2011 December 24,14:29:00,2011,December,Saturday,2:01 pm to 6:00 pm,14,Afternoon,Winter,492,2,1,57557,1
513,52881,200285967.0,2020 May 09,19:14:00,2020,May,Saturday,6:01 pm to 10:00 pm,19,Evening,Spring,493,2,2,57237,1
514,61486,230156178.0,2022 December 30,14:55:00,2022,December,Friday,2:01 pm to 6:00 pm,14,Afternoon,Winter,494,6,58,57557,1
515,47884,190598690.0,2019 August 14,19:51:00,2019,August,Wednesday,6:01 pm to 10:00 pm,19,Evening,Summer,495,2,2,57566,4
516,59896,220705199.0,2022 October 13,20:17:00,2022,October,Thursday,6:01 pm to 10:00 pm,20,Evening,Fall,496,3,3,57603,8
517,54053,200652162.0,2020 October 29,08:30:00,2020,October,Thursday,6:01 am to 10:00 am,8,Morning,Fall,497,2,1,57649,8
518,61471,210699574.0,2021 November 26,16:00:00,2021,November,Friday,2:01 pm to 6:00 pm,16,Afternoon,Fall,498,2,2,57658,8
519,13311,6071054.0,2012 April 22,16:42:00,2012,April,Sunday,2:01 pm to 6:00 pm,16,Afternoon,Spring,499,2,2,57603,2
520,20601,2232008.0,2005 May 25,08:14:00,2005,May,Wednesday,6:01 am to 10:00 am,8,Morning,Spring,500,2,1,57660,2
521,53860,200601539.0,2020 October 06,09:43:00,2020,October,Tuesday,6:01 am to 10:00 am,9,Morning,Fall,501,2,2,57658,1
522,53110,200298976.0,2020 May 16,17:46:00,2020,May,Saturday,2:01 pm to 6:00 pm,17,Evening,Spring,502,2,1,56446,4
523,59700,220810356.0,2022 November 25,22:30:00,2022,November,Friday,10:01 pm to 2:00 am,22,Night,Fall,503,2,3,57576,1
524,39056,3439439.0,2007 October 02,16:00:00,2007,October,Tuesday,2:01 pm to 6:00 pm,16,Afternoon,Fall,504,2,1,57659,4
525,42010,2037020.0,2005 February 28,06:10:00,2005,February,Monday,6:01 am to 10:00 am,6,Morning,Winter,505,2,59,57569,1
526,7994,150137802.0,2015 February 14,14:06:00,2015,February,Saturday,2:01 pm to 6:00 pm,14,Afternoon,Winter,506,2,1,57621,2
527,20077,140850321.0,2014 October 08,15:50:00,2014,October,Wednesday,2:01 pm to 6:00 pm,15,Afternoon,Fall,507,2,1,57658,2
528,10279,2973012.0,2006 December 16,10:00:00,2006,December,Saturday,6:01 am to 10:00 am,10,Morning,Winter,508,2,40,38287,4
529,48097,190616220.0,2019 August 20,21:00:00,2019,August,Tuesday,6:01 pm to 10:00 pm,21,Night,Summer,509,2,3,57557,1
530,53850,200597176.0,2020 October 04,08:23:00,2020,October,Sunday,6:01 am to 10:00 am,8,Morning,Fall,510,1,60,56835,2
531,3187,130586291.0,2013 July 16,21:10:00,2013,July,Tuesday,6:01 pm to 10:00 pm,21,Night,Summer,511,1,3,57649,4
532,14653,6221985.0,2012 November 28,14:43:00,2012,November,Wednesday,2:01 pm to 6:00 pm,14,Afternoon,Fall,512,2,1,57658,1
533,31406,6131629.0,2012 May 09,11:46:00,2012,May,Wednesday,10:01 am to 2:00 pm,11,Morning,Spring,513,2,1,57660,2
534,14152,2395838.0,2005 November 19,13:08:00,2005,November,Saturday,10:01 am to 2:00 pm,13,Afternoon,Fall,514,2,1,57660,1
535,21041,3217762.0,2007 May 16,15:56:00,2007,May,Wednesday,2:01 pm to 6:00 pm,15,Afternoon,Spring,515,2,1,57658,1
536,83019,230095673.0,2023 February 08,21:24:00,2023,February,Wednesday,6:01 pm to 10:00 pm,21,Night,Winter,516,2,12,57607,1
537,81939,230245323.0,2023 April 09,01:32:00,2023,April,Sunday,10:01 pm to 2:00 am,1,Night,Spring,517,2,3,57622,1
538,39600,2658460.0,2006 March 20,12:30:00,2006,March,Monday,10:01 am to 2:00 pm,12,Afternoon,Spring,518,4,61,57660,1
539,59476,220803088.0,2022 October 15,01:44:00,2022,October,Saturday,10:01 pm to 2:00 am,1,Night,Fall,519,2,12,57584,8
540,59448,220887242.0,2022 December 28,05:01:00,2022,December,Wednesday,2:01 am to 6:00 am,5,Morning,Winter,520,2,62,57566,6
541,15760,2253568.0,2005 August 22,16:33:00,2005,August,Monday,2:01 pm to 6:00 pm,16,Afternoon,Summer,521,2,1,57553,2
542,34770,3370889.0,2007 August 19,08:50:00,2007,August,Sunday,6:01 am to 10:00 am,8,Morning,Summer,522,1,1,57659,12
543,36751,180333973.0,2018 May 05,12:25:00,2018,May,Saturday,10:01 am to 2:00 pm,12,Afternoon,Spring,523,1,1,57659,8
544,36428,3514732.0,2007 December 30,13:53:00,2007,December,Sunday,10:01 am to 2:00 pm,13,Afternoon,Winter,524,2,1,57659,2
545,15792,3324983.0,2007 August 07,13:07:00,2007,August,Tuesday,10:01 am to 2:00 pm,13,Afternoon,Summer,142,1,1,57649,2
546,60020,220710433.0,2022 October 16,06:24:00,2022,October,Sunday,6:01 am to 10:00 am,6,Morning,Fall,525,2,3,57659,1
547,85859,240297477.0,2024 May 11,18:31:00,2024,May,Saturday,6:01 pm to 10:00 pm,18,Evening,Spring,526,1,1,57658,8
548,31656,130498185.0,2013 June 17,17:50:00,2013,June,Monday,2:01 pm to 6:00 pm,17,Evening,Summer,527,1,1,57658,8
549,83058,230437150.0,2023 June 25,00:50:00,2023,June,Sunday,10:01 pm to 2:00 am,0,Night,Summer,528,2,3,57621,1
550,86068,240434152.0,2024 July 12,08:28:00,2024,July,Friday,6:01 am to 10:00 am,8,Morning,Summer,529,2,2,57235,1
551,20127,131080353.0,2013 December 24,15:40:00,2013,December,Tuesday,2:01 pm to 6:00 pm,15,Afternoon,Winter,530,2,2,57622,2
552,1867,2079359.0,2005 June 07,15:45:00,2005,June,Tuesday,2:01 pm to 6:00 pm,15,Afternoon,Summer,340,2,1,57659,14
553,8699,130583855.0,2013 July 16,06:15:00,2013,July,Tuesday,6:01 am to 10:00 am,6,Morning,Summer,531,2,63,57659,1
554,86882,240638100.0,2024 October 10,11:40:00,2024,October,Thursday,10:01 am to 2:00 pm,11,Morning,Fall,532,2,1,57658,1
555,17958,3493750.0,2007 November 17,21:57:00,2007,November,Saturday,6:01 pm to 10:00 pm,21,Night,Fall,533,2,3,57557,8
556,59562,220817120.0,2022 November 28,09:35:00,2022,November,Monday,6:01 am to 10:00 am,9,Morning,Fall,534,2,2,57659,1
557,33468,3539938.0,2007 December 10,20:56:00,2007,December,Monday,6:01 pm to 10:00 pm,20,Evening,Winter,535,2,3,57525,1
558,59389,220808492.0,2022 November 24,00:42:00,2022,November,Thursday,10:01 pm to 2:00 am,0,Night,Fall,536,2,13,57566,1
559,44888,170570975.0,2017 July 14,04:59:00,2017,July,Friday,2:01 am to 6:00 am,4,Night,Summer,537,2,3,57603,2
560,33829,130588786.0,2013 July 17,15:35:00,2013,July,Wednesday,2:01 pm to 6:00 pm,15,Afternoon,Summer,538,2,2,57614,1
561,20887,5477493.0,2011 December 05,17:31:00,2011,December,Monday,2:01 pm to 6:00 pm,17,Evening,Winter,539,2,12,57622,1
562,59663,220813833.0,2022 November 26,15:28:00,2022,November,Saturday,2:01 pm to 6:00 pm,15,Afternoon,Fall,540,2,1,57649,2
563,35612,5386329.0,2011 October 12,08:35:00,2011,October,Wednesday,6:01 am to 10:00 am,8,Morning,Fall,541,2,2,57581,2
564,59584,220844838.0,2022 December 09,17:38:00,2022,December,Friday,2:01 pm to 6:00 pm,17,Evening,Winter,542,2,12,57622,2
565,83387,230446781.0,2023 June 28,13:10:00,2023,June,Wednesday,10:01 am to 2:00 pm,13,Afternoon,Summer,543,2,1,57659,1
566,20866,2638534.0,2006 February 13,11:00:00,2006,February,Monday,10:01 am to 2:00 pm,11,Morning,Winter,544,2,2,56568,2
567,47885,190605007.0,2019 August 16,23:23:00,2019,August,Friday,10:01 pm to 2:00 am,23,Night,Summer,545,2,3,57566,1
568,25231,2112164.0,2005 July 07,15:10:00,2005,July,Thursday,2:01 pm to 6:00 pm,15,Afternoon,Summer,546,2,1,57658,8
569,48230,190575886.0,2019 August 07,05:05:00,2019,August,Wednesday,2:01 am to 6:00 am,5,Morning,Summer,547,2,3,57607,1
570,45362,130264679.0,2013 March 31,16:00:00,2013,March,Sunday,2:01 pm to 6:00 pm,16,Afternoon,Spring,29223,2,2,57660,1
571,53001,200343010.0,2020 June 06,18:31:00,2020,June,Saturday,6:01 pm to 10:00 pm,18,Evening,Summer,548,2,1,57622,2
572,83570,230575603.0,2023 August 14,16:19:00,2023,August,Monday,2:01 pm to 6:00 pm,16,Afternoon,Summer,549,2,2,57659,1
573,82796,230021769.0,2023 January 10,11:48:00,2023,January,Tuesday,10:01 am to 2:00 pm,11,Morning,Winter,550,13,16,57658,1
574,19517,6471267.0,2012 April 30,02:40:00,2012,April,Monday,2:01 am to 6:00 am,2,Night,Spring,551,2,12,51996,4
575,23095,3342268.0,2007 August 31,08:52:00,2007,August,Friday,6:01 am to 10:00 am,8,Morning,Summer,552,2,1,57649,1
576,47834,190555844.0,2019 July 30,22:00:00,2019,July,Tuesday,6:01 pm to 10:00 pm,22,Night,Summer,553,2,3,57659,14
577,59857,220740292.0,2022 October 27,14:30:00,2022,October,Thursday,2:01 pm to 6:00 pm,14,Afternoon,Fall,554,2,2,57653,2
578,84192,230489424.0,2023 July 14,14:44:00,2023,July,Friday,2:01 pm to 6:00 pm,14,Afternoon,Summer,555,2,2,57659,1
579,33149,140835505.0,2014 October 04,02:05:00,2014,October,Saturday,2:01 am to 6:00 am,2,Night,Fall,556,2,64,57557,1
580,22543,2848208.0,2006 October 11,19:59:00,2006,October,Wednesday,6:01 pm to 10:00 pm,19,Evening,Fall,557,2,12,57649,2
581,32021,6135403.0,2012 April 19,15:48:00,2012,April,Thursday,2:01 pm to 6:00 pm,15,Afternoon,Spring,558,2,1,57123,1
582,59924,220675893.0,2022 October 02,18:37:00,2022,October,Sunday,6:01 pm to 10:00 pm,18,Evening,Fall,559,2,15,57658,1
583,8010,3342300.0,2007 August 31,15:10:00,2007,August,Friday,2:01 pm to 6:00 pm,15,Afternoon,Summer,560,2,1,57585,8
584,27107,9019128.0,2006 September 03,14:50:00,2006,September,Sunday,2:01 pm to 6:00 pm,14,Afternoon,Fall,561,2,1,57622,2
585,342,4279175.0,2009 June 03,09:05:00,2009,June,Wednesday,6:01 am to 10:00 am,9,Morning,Summer,562,2,2,57622,2
586,38791,2267726.0,2005 September 17,14:59:00,2005,September,Saturday,2:01 pm to 6:00 pm,14,Afternoon,Fall,563,1,1,51618,1
587,26672,3603436.0,2008 January 31,21:14:00,2008,January,Thursday,6:01 pm to 10:00 pm,21,Night,Winter,564,4,7,57569,2
588,59460,220803157.0,2022 November 22,04:07:00,2022,November,Tuesday,2:01 am to 6:00 am,4,Night,Fall,565,2,3,57660,8
589,60058,220754077.0,2022 November 02,10:45:00,2022,November,Wednesday,10:01 am to 2:00 pm,10,Morning,Fall,566,2,1,57659,8
590,28464,2023877.0,2005 May 14,14:10:00,2005,May,Saturday,2:01 pm to 6:00 pm,14,Afternoon,Spring,567,2,1,57649,1
591,56359,210469515.0,2021 July 25,05:56:00,2021,July,Sunday,2:01 am to 6:00 am,5,Morning,Summer,568,2,33,57649,2
592,47830,190538157.0,2019 July 24,18:21:00,2019,July,Wednesday,6:01 pm to 10:00 pm,18,Evening,Summer,569,2,1,57621,1
593,57979,220279558.0,2022 April 29,11:37:00,2022,April,Friday,10:01 am to 2:00 pm,11,Morning,Spring,570,2,2,57649,2
594,41448,130762071.0,2013 September 11,12:15:00,2013,September,Wednesday,10:01 am to 2:00 pm,12,Afternoon,Fall,571,2,1,57603,14
595,38466,150054820.0,2015 January 18,16:15:00,2015,January,Sunday,2:01 pm to 6:00 pm,16,Afternoon,Winter,572,2,2,57607,1
596,3850,3437386.0,2007 October 03,16:40:00,2007,October,Wednesday,2:01 pm to 6:00 pm,16,Afternoon,Fall,573,2,1,57553,14
597,60080,220153708.0,2022 March 05,01:45:00,2022,March,Saturday,10:01 pm to 2:00 am,1,Night,Spring,574,2,3,57660,1
598,52995,200341014.0,2020 June 05,14:18:00,2020,June,Friday,2:01 pm to 6:00 pm,14,Afternoon,Summer,575,5,1,57659,1
599,15355,170768647.0,2017 September 20,13:05:00,2017,September,Wednesday,10:01 am to 2:00 pm,13,Afternoon,Fall,576,1,2,55448,2
600,13000,130034046.0,2013 January 12,22:15:00,2013,January,Saturday,10:01 pm to 2:00 am,22,Night,Winter,577,2,12,57658,8
601,23119,3496726.0,2007 December 04,11:03:00,2007,December,Tuesday,10:01 am to 2:00 pm,11,Morning,Winter,578,1,4,57584,1
602,47779,190541116.0,2019 July 25,19:09:00,2019,July,Thursday,6:01 pm to 10:00 pm,19,Evening,Summer,579,2,1,57581,1
603,38341,130437569.0,2013 May 27,19:25:00,2013,May,Monday,6:01 pm to 10:00 pm,19,Evening,Spring,580,4,16,57658,1
604,83278,230878758.0,2023 December 15,17:10:00,2023,December,Friday,2:01 pm to 6:00 pm,17,Evening,Winter,581,2,3,57658,8
605,49495,190928138.0,2019 December 09,21:11:00,2019,December,Monday,6:01 pm to 10:00 pm,21,Night,Winter,582,1,65,57561,2
606,86336,240514259.0,2024 August 16,18:15:00,2024,August,Friday,6:01 pm to 10:00 pm,18,Evening,Summer,583,2,2,57525,2
607,85119,240024076.0,2024 January 11,16:53:00,2024,January,Thursday,2:01 pm to 6:00 pm,16,Afternoon,Winter,584,2,2,57476,1
608,82987,230085931.0,2023 February 04,23:21:00,2023,February,Saturday,10:01 pm to 2:00 am,23,Night,Winter,585,4,13,57649,3
609,26985,160842477.0,2016 October 16,03:01:00,2016,October,Sunday,2:01 am to 6:00 am,3,Night,Fall,586,2,3,57658,13
610,56789,210716338.0,2021 November 01,09:15:00,2021,November,Monday,6:01 am to 10:00 am,9,Morning,Fall,587,4,4,57655,2
611,20395,2253548.0,2005 September 13,11:40:00,2005,September,Tuesday,10:01 am to 2:00 pm,11,Morning,Fall,588,11,1,57659,1
612,24321,130101253.0,2013 February 04,19:50:00,2013,February,Monday,6:01 pm to 10:00 pm,19,Evening,Winter,303,2,3,57525,1
613,38884,130282364.0,2013 April 06,18:49:00,2013,April,Saturday,6:01 pm to 10:00 pm,18,Evening,Spring,589,2,1,57649,1
614,38765,3441427.0,2007 November 10,18:47:00,2007,November,Saturday,6:01 pm to 10:00 pm,18,Evening,Fall,315,7,13,57659,8
615,46341,190344631.0,2019 May 14,08:55:00,2019,May,Tuesday,6:01 am to 10:00 am,8,Morning,Spring,590,2,40,57660,2
616,11815,6221557.0,2012 October 18,16:12:00,2012,October,Thursday,2:01 pm to 6:00 pm,16,Afternoon,Fall,591,2,2,57659,2
